分项,计量单位,当前几何量或暂定数量,最终计量数量,施工队A含税综合单价,施工队B含税综合单价,施工队C含税综合单价,材料与施工范围,待定条件
现场测量及建筑结构专项设计,项,,,,,,明确交付图纸与现场交底,所在地和工作范围
土方开挖及运输,m3,,,,,,含弃土运距和临时排水,实测标高及地基
分层回填与压实,m3,,,,,,材料分层厚度及检测,实测挖填方
挡土及邻基处理,项,,,,,,按独立设计报价不可按围墙代替,高差和土质
基础结构,项,,,,,,钢筋混凝土模板检测,正式结构图
一层主体投影参考,㎡,163.8,,,,,仅几何参考不得与分项结构重复计价,最终报建及计量规则
二层主体投影参考,㎡,163.8,,,,,仅几何参考不得与分项结构重复计价,最终报建及计量规则
楼梯及洞口结构,项,,,,,,含平台防护和扶手,楼梯详图
屋面完整系统,㎡,,,,,,含保温防水天沟收口固定和防雪,屋面形式及实际坡面积
外墙保温完整系统,㎡,,,,,,窗边梁柱墙脚节点配件,材料厚度及当地热工设计
外门窗,樘,,,,,,逐规格列玻璃五金密封和安装,洞口及性能表
给水分户与计量,项,,,,,,阀表管卡保温套管及试压,供水容量和表计条件
雨水沟管井及接驳,项,,,,,,含沉砂清掏防冻,合法出口及高程
提升排水条件项,项,,,,,,仅需要时计入含泵报警供电与调试,重力出口不满足时
污水与处理设施,项,,,,,,含通气清扫接口及清掏通路,市政污水或合规处理方案
一层两户散热器系统,户,2,,,,,按热负荷列末端支路温控,热源及末端温度
二层两户地暖系统,户,2,,,,,按设计列分集水器回路保温试压养护,地面完成面厚度
供暖热源,套,,,,,,含设备位置安装调试和控制,能源条件及热负荷
四户电气与公共回路,项,,,,,,含配电接地保护线槽测试,负荷计算与供电容量
首批入住户基本装修,户,,,,,,地墙基层饰面厨房洁具与照明,业主确定首批户数
南院面积参考,㎡,63,,,,,铺装可分期土方及排水另计,标高和入口轨迹
北检修带面积参考,㎡,12.6,,,,,优先检修排水不贴墙覆土,邻房和排水关系
不可预见项暂列,项,,,,,,逐项说明不并入不明包干报价,地基排水等调查结果
