分项,单位,A数量,B数量,C数量,D数量,统一单价或差异说明,A金额,B金额,C金额,D金额,计量与范围备注
主体两层投影（估算基数）,㎡,327.6,327.6,327.6,315.0,,,,,,楼梯参考投影已包含；不是结构结算工程量
楼梯参考范围（不另加主体面积）,㎡/层,14.04,14.04,14.04,14.04,,,,,,用于核对公共面积；楼梯本体按专项图报价
二层南公共连廊参考投影,㎡,0,9.3125,9.3125,0,,,,,,含不含支承基础连接排水另列，实际净宽待复核
连廊屋盖参考投影,㎡,0,10.64,10.64,0,,,,,,按模型屋盖7.60×1.40估算，正式构造后复核
北侧到达雨棚条件项,㎡,0,0,0,11.475,,,,,,D参考7.65×1.50，须确认边界和雨雪处理
南院地面参考面积,㎡,63,63,63,63,,,,,,实际铺装按分期及沟井扣减
北侧退让带参考面积,㎡,12.6,12.6,12.6,18.9,,,,,,D包含公共到达路线，不能全按花池报价
北侧独立客卧,间/层,4,4,4,2,,,,,,采光需复核；南起居睡眠房另各2间/层
窗洞参考面积（非成品下单量）,㎡,73.28,62.84,62.84,68.65,,,,,,统一性能报价，安装密封纱窗配件范围写清
合户填充（两层）,㎡,7.2,7.2,7.2,7.2,,,,,,两层各1.5×2.4；结构洞口及饰面另协调
测量与设计,项,,,,,,,,,,建筑结构楼梯排水专项范围
土方回填挡土,项,,,,,,,,,,须现场测量；高差不可从平面模型估算
基础与主体结构,项,,,,,,,,,,正式结构图后计算；不得按概念板厚配筋报价
楼梯及公共栏杆,项,,,,,,,,,,净宽净高扶手平台防滑
连廊完整支承系统,项,,,,,,,,,,B/C注明材料基础梁柱连接和安装
屋面完整系统,项,,,,,,,,,,保温防水找坡雨水收口和防雪
外墙保温与门窗收口,项,,,,,,,,,,统一系统性能和梁柱窗边节点
分户给水与污水,项,,,,,,,,,,四户及公共分区检修通气
室外雨水与合法接驳,项,,,,,,,,,,重力或提升按实测出口条件分别暂列
电气与公共照明,项,,,,,,,,,,四户容量公共通道及室外防护
一层散热器,项,,,,,,,,,,按房间热负荷和分户控制
二层地暖,项,,,,,,,,,,分集水器回路保温试验和养护
供暖热源,项,,,,,,,,,,能源条件与设备位置待定
湿区防水及基础洁具,项,,,,,,,,,,每层两户标准统一
基础装修与明装线槽,项,,,,,,,,,,统一墙地面标准不要用装修差价掩盖布局差价
北通道雨雪与安防,项,,,,,,,,,,D排水防滑照明及必要围护
暂列与未包含项,项,,,,,,,,,,逐项列明，避免重复计价
合计与工期,项,,,,,,,,,,填各方案合计，附计算方式和有效期
